sensor_id,city,zone_type,pm25,pm10,co2_ppm,temperature_c,humidity_pct,wind_speed_kmh,aqi_value,severity,recorded_at
PKS_KHI_TRF_02,Karachi,traffic,50.29,60.62,413.49,32.21,30.15,18.9,137.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:01:35.125571+00:00
PKS_LHR_RES_01,Lahore,residential,106.15,134.76,400.0,23.86,54.8,19.73,177.2,UNHEALTHY,2026-07-19T23:01:35.125590+00:00
PKS_LHR_IND_02,Lahore,industrial,77.42,93.01,697.5,36.92,35.43,11.35,162.3,UNHEALTHY,2026-07-19T23:01:35.125607+00:00
PKS_ISB_PRK_01,Islamabad,park,32.12,38.05,400.0,29.67,61.26,18.26,93.1,MODERATE,2026-07-19T23:01:35.125623+00:00
PKS_ISB_TRF_02,Islamabad,traffic,37.59,40.51,400.0,42.12,65.47,19.7,106.2,UNHEALTHY FOR SENSITIVE,2026-07-19T23:01:35.125640+00:00
PKS_PEW_IND_01,Peshawar,industrial,77.32,87.5,510.48,41.14,73.32,25.41,162.3,UNHEALTHY,2026-07-19T23:01:35.125655+00:00
PKS_PEW_RES_02,Peshawar,residential,29.03,32.95,400.0,36.51,11.06,18.01,86.6,MODERATE,2026-07-19T23:01:35.125673+00:00
PKS_MUL_TRF_01,Multan,traffic,63.3,75.71,400.0,30.95,83.12,32.23,155.0,UNHEALTHY,2026-07-19T23:01:35.125691+00:00
PKS_MUL_PRK_02,Multan,park,8.5,10.66,400.0,28.99,63.97,7.81,35.4,GOOD,2026-07-19T23:01:35.125707+00:00
PKS_KHI_IND_01,Karachi,industrial,206.38,225.44,609.02,32.16,31.3,52.36,256.4,VERY UNHEALTHY,2026-07-19T23:02:17.006365+00:00
PKS_KHI_TRF_02,Karachi,traffic,59.85,74.65,400.0,27.97,18.99,18.75,153.2,UNHEALTHY,2026-07-19T23:02:17.006437+00:00
PKS_LHR_RES_01,Lahore,residential,26.46,30.1,400.0,37.56,45.04,1.27,81.2,MODERATE,2026-07-19T23:02:17.006475+00:00
PKS_LHR_IND_02,Lahore,industrial,62.67,66.26,555.43,37.48,10.59,49.03,154.7,UNHEALTHY,2026-07-19T23:02:17.006510+00:00
PKS_ISB_PRK_01,Islamabad,park,40.12,51.09,400.0,25.5,50.54,29.4,112.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:17.006547+00:00
PKS_ISB_TRF_02,Islamabad,traffic,46.88,57.15,481.71,32.96,26.96,45.35,129.0,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:17.006583+00:00
PKS_PEW_IND_01,Peshawar,industrial,166.12,213.52,496.47,38.85,33.92,37.14,216.5,VERY UNHEALTHY,2026-07-19T23:02:17.006617+00:00
PKS_PEW_RES_02,Peshawar,residential,21.59,23.33,400.0,27.08,34.69,52.09,70.9,MODERATE,2026-07-19T23:02:17.006651+00:00
PKS_MUL_TRF_01,Multan,traffic,52.32,55.54,400.0,35.63,29.45,14.82,142.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:17.006684+00:00
PKS_MUL_PRK_02,Multan,park,7.42,8.59,400.0,24.72,50.71,7.79,30.9,GOOD,2026-07-19T23:02:17.006722+00:00
PKS_KHI_IND_01,Karachi,industrial,61.72,79.51,511.11,30.37,26.06,52.36,154.2,UNHEALTHY,2026-07-19T23:02:51.959670+00:00
PKS_KHI_TRF_02,Karachi,traffic,46.22,56.51,519.97,27.42,67.93,50.29,127.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:51.959726+00:00
PKS_LHR_RES_01,Lahore,residential,38.13,41.9,400.0,40.98,79.32,28.69,107.5,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:51.959756+00:00
PKS_LHR_IND_02,Lahore,industrial,59.21,73.04,479.74,33.13,12.76,58.08,152.9,UNHEALTHY,2026-07-19T23:02:51.959782+00:00
PKS_ISB_PRK_01,Islamabad,park,10.02,10.61,400.0,26.97,89.56,50.42,41.7,GOOD,2026-07-19T23:02:51.959809+00:00
PKS_ISB_TRF_02,Islamabad,traffic,35.35,37.86,512.79,42.87,10.17,2.71,99.9,MODERATE,2026-07-19T23:02:51.959835+00:00
PKS_PEW_IND_01,Peshawar,industrial,67.63,76.96,573.34,34.1,44.11,36.67,157.3,UNHEALTHY,2026-07-19T23:02:51.959861+00:00
PKS_PEW_RES_02,Peshawar,residential,21.03,24.51,400.0,40.14,29.88,44.05,69.8,MODERATE,2026-07-19T23:02:51.959886+00:00
PKS_MUL_TRF_01,Multan,traffic,45.33,53.28,400.0,35.99,61.07,48.33,125.2,UNHEALTHY FOR SENSITIVE,2026-07-19T23:02:51.959911+00:00
PKS_MUL_PRK_02,Multan,park,34.07,36.74,400.0,27.36,21.32,36.09,97.2,MODERATE,2026-07-19T23:02:51.959937+00:00
PKS_KHI_IND_01,Karachi,industrial,236.55,305.41,441.44,35.65,38.91,26.36,286.3,VERY UNHEALTHY,2026-07-19T23:03:33.663963+00:00
PKS_KHI_TRF_02,Karachi,traffic,55.0,64.39,517.37,35.6,10.85,20.54,149.0,UNHEALTHY FOR SENSITIVE,2026-07-19T23:03:33.664016+00:00
PKS_LHR_RES_01,Lahore,residential,24.12,27.51,400.0,32.48,30.55,34.12,76.3,MODERATE,2026-07-19T23:03:33.664046+00:00
PKS_LHR_IND_02,Lahore,industrial,87.84,99.18,695.68,37.62,74.32,11.55,167.7,UNHEALTHY,2026-07-19T23:03:33.664071+00:00
PKS_ISB_PRK_01,Islamabad,park,9.63,11.36,400.0,30.31,57.26,47.62,40.1,GOOD,2026-07-19T23:03:33.664096+00:00
PKS_ISB_TRF_02,Islamabad,traffic,49.68,52.74,400.0,40.66,73.69,52.2,135.9,UNHEALTHY FOR SENSITIVE,2026-07-19T23:03:33.664121+00:00
PKS_PEW_IND_01,Peshawar,industrial,88.29,106.65,625.41,37.05,51.64,19.42,167.9,UNHEALTHY,2026-07-19T23:03:33.664146+00:00
PKS_PEW_RES_02,Peshawar,residential,65.71,73.14,400.0,29.72,66.79,44.1,156.3,UNHEALTHY,2026-07-19T23:03:33.664171+00:00
PKS_MUL_TRF_01,Multan,traffic,47.86,56.05,404.33,33.33,33.37,34.13,131.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:03:33.664195+00:00
PKS_MUL_PRK_02,Multan,park,27.34,30.19,400.0,27.51,65.38,3.87,83.0,MODERATE,2026-07-19T23:03:33.664221+00:00
PKS_KHI_IND_01,Karachi,industrial,77.2,94.7,544.71,39.48,24.79,54.57,162.2,UNHEALTHY,2026-07-19T23:05:20.777382+00:00
PKS_KHI_TRF_02,Karachi,traffic,47.66,54.92,501.41,26.55,55.3,48.95,130.9,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:20.777472+00:00
PKS_LHR_RES_01,Lahore,residential,25.77,31.81,400.0,34.38,39.04,36.14,79.7,MODERATE,2026-07-19T23:05:20.777526+00:00
PKS_LHR_IND_02,Lahore,industrial,78.63,84.98,638.06,35.87,14.24,11.45,162.9,UNHEALTHY,2026-07-19T23:05:20.777569+00:00
PKS_ISB_PRK_01,Islamabad,park,6.49,8.27,400.0,30.61,33.56,2.95,27.0,GOOD,2026-07-19T23:05:20.777611+00:00
PKS_ISB_TRF_02,Islamabad,traffic,62.23,70.77,426.18,41.07,85.51,3.08,154.5,UNHEALTHY,2026-07-19T23:05:20.777652+00:00
PKS_PEW_IND_01,Peshawar,industrial,187.87,217.42,596.43,41.79,18.24,11.49,238.0,VERY UNHEALTHY,2026-07-19T23:05:20.777695+00:00
PKS_PEW_RES_02,Peshawar,residential,30.59,36.65,400.0,40.12,86.54,17.98,89.9,MODERATE,2026-07-19T23:05:20.777735+00:00
PKS_MUL_TRF_01,Multan,traffic,186.25,215.95,400.0,33.62,28.07,48.58,236.4,VERY UNHEALTHY,2026-07-19T23:05:20.777778+00:00
PKS_MUL_PRK_02,Multan,park,10.75,12.88,400.0,30.14,56.63,39.14,44.8,GOOD,2026-07-19T23:05:20.777819+00:00
PKS_KHI_IND_01,Karachi,industrial,58.68,73.62,595.01,30.14,86.49,26.29,152.6,UNHEALTHY,2026-07-19T23:05:32.615278+00:00
PKS_KHI_TRF_02,Karachi,traffic,54.49,64.97,422.59,31.45,35.93,33.23,147.8,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:32.615310+00:00
PKS_LHR_RES_01,Lahore,residential,32.57,37.23,400.0,30.57,40.26,54.34,94.0,MODERATE,2026-07-19T23:05:32.615325+00:00
PKS_LHR_IND_02,Lahore,industrial,75.32,82.96,500.73,41.74,82.64,14.94,161.2,UNHEALTHY,2026-07-19T23:05:32.615338+00:00
PKS_ISB_PRK_01,Islamabad,park,13.66,17.09,400.0,36.37,20.36,28.67,54.3,MODERATE,2026-07-19T23:05:32.615354+00:00
PKS_ISB_TRF_02,Islamabad,traffic,47.3,57.81,488.26,32.53,26.82,25.49,130.1,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:32.615368+00:00
PKS_PEW_IND_01,Peshawar,industrial,90.64,108.68,527.65,36.07,88.6,1.96,169.1,UNHEALTHY,2026-07-19T23:05:32.615382+00:00
PKS_PEW_RES_02,Peshawar,residential,19.28,22.47,400.0,30.78,53.49,32.39,66.1,MODERATE,2026-07-19T23:05:32.615394+00:00
PKS_MUL_TRF_01,Multan,traffic,47.12,51.3,488.66,38.65,60.44,47.72,129.6,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:32.615407+00:00
PKS_MUL_PRK_02,Multan,park,8.39,9.27,400.0,26.33,29.51,48.77,35.0,GOOD,2026-07-19T23:05:32.615420+00:00
PKS_KHI_IND_01,Karachi,industrial,90.85,105.88,485.61,33.99,21.41,31.32,169.3,UNHEALTHY,2026-07-19T23:05:43.676553+00:00
PKS_KHI_TRF_02,Karachi,traffic,43.7,56.61,555.23,28.01,15.71,56.51,121.2,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:43.676604+00:00
PKS_LHR_RES_01,Lahore,residential,21.46,23.54,400.0,33.12,38.24,13.52,70.7,MODERATE,2026-07-19T23:05:43.676631+00:00
PKS_LHR_IND_02,Lahore,industrial,56.15,60.3,600.89,40.5,71.02,52.78,151.3,UNHEALTHY,2026-07-19T23:05:43.676657+00:00
PKS_ISB_PRK_01,Islamabad,park,11.82,12.95,400.0,26.74,82.02,57.37,49.3,GOOD,2026-07-19T23:05:43.676682+00:00
PKS_ISB_TRF_02,Islamabad,traffic,49.99,53.86,400.0,33.13,89.74,6.03,136.7,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:43.676711+00:00
PKS_PEW_IND_01,Peshawar,industrial,83.75,100.41,609.76,32.26,70.54,36.81,165.6,UNHEALTHY,2026-07-19T23:05:43.676736+00:00
PKS_PEW_RES_02,Peshawar,residential,36.71,46.98,400.0,32.54,20.51,38.76,104.0,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:43.676779+00:00
PKS_MUL_TRF_01,Multan,traffic,62.93,77.32,425.2,29.6,52.18,28.9,154.8,UNHEALTHY,2026-07-19T23:05:43.676804+00:00
PKS_MUL_PRK_02,Multan,park,12.82,14.06,400.0,32.55,81.02,17.91,52.5,MODERATE,2026-07-19T23:05:43.676828+00:00
PKS_KHI_IND_01,Karachi,industrial,68.9,81.33,560.62,28.73,27.04,56.72,157.9,UNHEALTHY,2026-07-19T23:05:54.752185+00:00
PKS_KHI_TRF_02,Karachi,traffic,52.88,64.86,477.04,31.02,37.71,29.99,143.8,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:54.752236+00:00
PKS_LHR_RES_01,Lahore,residential,23.69,26.81,403.86,34.66,71.5,24.06,75.4,MODERATE,2026-07-19T23:05:54.752267+00:00
PKS_LHR_IND_02,Lahore,industrial,72.68,87.66,465.03,39.86,57.7,57.08,159.9,UNHEALTHY,2026-07-19T23:05:54.752294+00:00
PKS_ISB_PRK_01,Islamabad,park,8.74,10.85,400.0,33.98,30.71,59.17,36.4,GOOD,2026-07-19T23:05:54.752321+00:00
PKS_ISB_TRF_02,Islamabad,traffic,54.05,61.57,421.62,34.49,81.62,40.9,146.7,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:54.752347+00:00
PKS_PEW_IND_01,Peshawar,industrial,95.43,119.43,595.14,26.83,51.09,28.76,171.6,UNHEALTHY,2026-07-19T23:05:54.752372+00:00
PKS_PEW_RES_02,Peshawar,residential,18.6,21.99,400.0,32.26,14.98,38.4,64.7,MODERATE,2026-07-19T23:05:54.752397+00:00
PKS_MUL_TRF_01,Multan,traffic,49.43,62.55,400.0,30.41,38.15,19.65,135.3,UNHEALTHY FOR SENSITIVE,2026-07-19T23:05:54.752424+00:00
PKS_MUL_PRK_02,Multan,park,5.87,6.37,400.0,33.45,22.23,59.02,24.4,GOOD,2026-07-19T23:05:54.752449+00:00
PKS_KHI_IND_01,Karachi,industrial,86.07,109.75,601.86,34.08,89.81,27.19,166.8,UNHEALTHY,2026-07-19T23:06:05.882679+00:00
PKS_KHI_TRF_02,Karachi,traffic,57.26,68.55,482.09,37.42,17.66,55.65,151.9,UNHEALTHY,2026-07-19T23:06:05.882703+00:00
PKS_LHR_RES_01,Lahore,residential,28.11,34.3,400.0,27.23,29.53,38.53,84.7,MODERATE,2026-07-19T23:06:05.882714+00:00
PKS_LHR_IND_02,Lahore,industrial,70.67,91.66,520.21,41.63,80.08,53.82,158.8,UNHEALTHY,2026-07-19T23:06:05.882724+00:00
PKS_ISB_PRK_01,Islamabad,park,6.27,7.73,400.0,26.58,15.67,24.61,26.1,GOOD,2026-07-19T23:06:05.882733+00:00
PKS_ISB_TRF_02,Islamabad,traffic,52.79,61.65,500.49,29.41,30.6,36.47,143.6,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:05.882742+00:00
PKS_PEW_IND_01,Peshawar,industrial,65.32,78.45,526.14,28.97,64.25,50.0,156.1,UNHEALTHY,2026-07-19T23:06:05.882752+00:00
PKS_PEW_RES_02,Peshawar,residential,107.88,134.88,400.0,26.11,21.6,36.49,178.0,UNHEALTHY,2026-07-19T23:06:05.882761+00:00
PKS_MUL_TRF_01,Multan,traffic,226.72,268.58,400.0,43.59,48.82,8.04,276.5,VERY UNHEALTHY,2026-07-19T23:06:05.882770+00:00
PKS_MUL_PRK_02,Multan,park,10.12,12.44,400.0,30.37,21.5,52.19,42.2,GOOD,2026-07-19T23:06:05.882781+00:00
PKS_KHI_IND_01,Karachi,industrial,74.84,94.62,496.65,37.15,10.24,10.58,161.0,UNHEALTHY,2026-07-19T23:06:16.941023+00:00
PKS_KHI_TRF_02,Karachi,traffic,49.66,56.35,521.52,31.1,77.01,11.16,135.9,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:16.941103+00:00
PKS_LHR_RES_01,Lahore,residential,63.86,82.59,400.0,27.96,18.52,31.05,155.3,UNHEALTHY,2026-07-19T23:06:16.941152+00:00
PKS_LHR_IND_02,Lahore,industrial,136.81,167.48,688.75,32.52,53.13,31.44,193.0,UNHEALTHY,2026-07-19T23:06:16.941197+00:00
PKS_ISB_PRK_01,Islamabad,park,7.15,9.15,400.0,34.13,76.24,5.31,29.8,GOOD,2026-07-19T23:06:16.941239+00:00
PKS_ISB_TRF_02,Islamabad,traffic,42.05,53.0,437.88,39.7,57.37,5.54,117.1,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:16.941281+00:00
PKS_PEW_IND_01,Peshawar,industrial,100.11,110.78,611.46,32.71,45.12,4.56,174.0,UNHEALTHY,2026-07-19T23:06:16.941323+00:00
PKS_PEW_RES_02,Peshawar,residential,103.78,117.12,400.0,25.84,16.81,31.36,175.9,UNHEALTHY,2026-07-19T23:06:16.941364+00:00
PKS_MUL_TRF_01,Multan,traffic,43.37,51.13,534.84,39.99,62.76,23.58,120.4,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:16.941405+00:00
PKS_MUL_PRK_02,Multan,park,9.13,10.66,400.0,30.03,49.56,33.33,38.0,GOOD,2026-07-19T23:06:16.941445+00:00
PKS_KHI_IND_01,Karachi,industrial,76.69,87.82,586.0,43.86,73.21,32.31,161.9,UNHEALTHY,2026-07-19T23:06:28.069763+00:00
PKS_KHI_TRF_02,Karachi,traffic,46.88,52.14,400.0,33.25,69.76,29.46,129.0,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:28.069896+00:00
PKS_LHR_RES_01,Lahore,residential,34.93,37.59,400.0,29.53,26.01,33.64,99.0,MODERATE,2026-07-19T23:06:28.069979+00:00
PKS_LHR_IND_02,Lahore,industrial,67.85,71.62,664.25,31.76,77.04,53.81,157.4,UNHEALTHY,2026-07-19T23:06:28.070053+00:00
PKS_ISB_PRK_01,Islamabad,park,11.74,14.33,400.0,22.1,81.43,29.88,48.9,GOOD,2026-07-19T23:06:28.070128+00:00
PKS_ISB_TRF_02,Islamabad,traffic,57.44,63.06,420.01,30.89,68.53,23.05,152.0,UNHEALTHY,2026-07-19T23:06:28.070206+00:00
PKS_PEW_IND_01,Peshawar,industrial,92.64,98.28,465.05,30.04,14.41,31.43,170.2,UNHEALTHY,2026-07-19T23:06:28.070283+00:00
PKS_PEW_RES_02,Peshawar,residential,21.19,24.71,400.0,24.49,85.2,12.1,70.1,MODERATE,2026-07-19T23:06:28.070357+00:00
PKS_MUL_TRF_01,Multan,traffic,44.11,54.27,498.67,27.63,73.96,2.61,122.2,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:28.070431+00:00
PKS_MUL_PRK_02,Multan,park,20.34,26.12,400.0,24.59,46.64,21.46,68.3,MODERATE,2026-07-19T23:06:28.070500+00:00
PKS_KHI_IND_01,Karachi,industrial,60.43,68.1,704.46,36.94,43.22,18.5,153.5,UNHEALTHY,2026-07-19T23:06:48.834729+00:00
PKS_KHI_TRF_02,Karachi,traffic,56.85,62.22,537.72,34.1,89.9,7.34,151.7,UNHEALTHY,2026-07-19T23:06:48.834781+00:00
PKS_LHR_RES_01,Lahore,residential,84.32,95.45,400.0,31.63,63.24,44.57,165.9,UNHEALTHY,2026-07-19T23:06:48.834814+00:00
PKS_LHR_IND_02,Lahore,industrial,79.53,94.11,645.03,33.83,22.88,56.38,163.4,UNHEALTHY,2026-07-19T23:06:48.834842+00:00
PKS_ISB_PRK_01,Islamabad,park,23.99,29.41,400.0,25.99,10.61,3.69,76.0,MODERATE,2026-07-19T23:06:48.834869+00:00
PKS_ISB_TRF_02,Islamabad,traffic,45.11,56.45,488.7,37.63,78.06,28.02,124.7,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:48.834895+00:00
PKS_PEW_IND_01,Peshawar,industrial,62.11,65.73,530.83,37.4,77.95,42.66,154.4,UNHEALTHY,2026-07-19T23:06:48.834921+00:00
PKS_PEW_RES_02,Peshawar,residential,26.29,33.78,400.0,28.12,78.4,8.64,80.9,MODERATE,2026-07-19T23:06:48.834946+00:00
PKS_MUL_TRF_01,Multan,traffic,43.85,47.13,514.02,40.15,66.41,29.01,121.6,UNHEALTHY FOR SENSITIVE,2026-07-19T23:06:48.834971+00:00
PKS_MUL_PRK_02,Multan,park,13.42,16.71,400.0,29.58,27.83,15.35,53.8,MODERATE,2026-07-19T23:06:48.834996+00:00
PKS_KHI_IND_01,Karachi,industrial,77.66,91.76,569.89,44.09,33.12,1.6,162.4,UNHEALTHY,2026-07-19T23:06:59.916520+00:00
